거래일자,봄배추 10.0 kg 상자 /특,봄배추 10.0 kg 상자 /상,봄배추 10.0 kg 상자 /중,봄배추 10.0 kg 상자 /하,봄배추 반입량,여름배추 10.0 kg 상자 /특,여름배추 10.0 kg 상자 /상,여름배추 10.0 kg 상자 /중,여름배추 10.0 kg 상자 /하,여름배추 반입량,김장(가을)배추 10.0 kg 상자 /특,김장(가을)배추 10.0 kg 상자 /상,김장(가을)배추 10.0 kg 상자 /중,김장(가을)배추 10.0 kg 상자 /하,김장(가을)배추 반입량,월동배추 10.0 kg 상자 /특,월동배추 10.0 kg 상자 /상,월동배추 10.0 kg 상자 /중,월동배추 10.0 kg 상자 /하,월동배추 반입량,고냉지배추 10.0 kg 상자 /특,고냉지배추 10.0 kg 상자 /상,고냉지배추 10.0 kg 상자 /중,고냉지배추 10.0 kg 상자 /하,고냉지배추 반입량,저장배추 10.0 kg 상자 /특,저장배추 10.0 kg 상자 /상,저장배추 10.0 kg 상자 /중,저장배추 10.0 kg 상자 /하,저장배추 반입량
,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년
2011-01,0,0,0,0,416791,0,5966,0,0,54428,11000,5133,6000,0,1330758,5780,9437,0,0,5077825,0,0,0,0,5316904,0,0,0,0,375405
2011-02,1600,0,0,0,454298,0,4573,0,0,35492,0,0,0,0,978786,23758,7684,0,0,4754116,6600,3650,3800,0,6684087,0,0,0,0,486980
2011-03,5878,6333,0,0,517226,0,5183,0,0,40261,0,0,0,0,1038589,6558,7616,6890,5700,6395515,5950,4350,4025,0,5786184,9799,5189,3650,0,4945713
2011-04,5709,4551,2000,0,5772481,0,4143,0,0,49221,0,0,0,0,350601,5328,3722,2813,2071,3429101,775,400,0,0,6004,8345,4352,3683,0,14046697
2011-05,3051,2040,0,0,20502131,0,2299,0,0,107292,0,688,0,0,373553,2014,1393,954,500,1430692,1700,1100,800,0,6100,6457,3417,0,500,2326399
2011-06,2327,1678,0,0,27796617,0,1739,0,0,608773,0,1000,0,0,287999,2126,1481,1438,1600,1165518,0,0,0,0,32,0,0,0,0,748900
2011-07,9000,2000,0,0,1384674,6000,3978,0,0,6725343,3563,2138,0,0,9703893,5060,4483,2929,2333,867464,11167,0,0,0,2064373,0,0,0,0,475670
2011-08,11000,8375,0,0,666928,9261,7031,0,0,19233932,0,0,0,0,255044,10745,7544,5879,6082,1292851,11634,7000,10000,0,5845554,0,0,0,0,533805
2011-09,5300,5417,0,1200,876368,6326,5880,0,0,25531572,5750,3800,0,0,545803,7469,4825,4082,3279,1930148,9521,8000,0,0,8552897,0,0,0,0,835182
2011-10,5500,3791,0,2500,922730,3000,5229,0,0,3640635,4700,2931,0,0,6185861,4788,3705,3229,2665,16952846,5182,0,0,0,4816530,0,0,0,0,787928
2011-11,3000,0,0,667,1736642,0,3668,0,0,230329,0,1428,0,0,22441496,2180,1751,1513,1375,22765062,0,0,0,0,1099033,0,0,0,0,1276216
2011-12,0,0,0,0,989908,0,3874,0,0,102429,2500,1424,0,0,20629438,1514,1111,993,1000,10174587,0,0,0,0,30354,0,0,0,0,623697
2012-01,0,0,0,0,347808,0,5731,0,0,31352,400,1816,0,0,1393727,2022,1632,1304,0,5389841,0,0,0,0,5966918,0,0,0,0,273165
2012-02,0,2000,0,0,357863,0,7705,0,0,40219,0,0,0,0,717833,3080,3397,1577,1638,5068613,1500,900,0,0,6907036,3000,1500,1000,0,2252248
2012-03,0,4500,0,0,457634,0,6617,0,0,14951,0,0,0,0,781320,6156,6010,3303,3530,4810759,6417,3925,0,0,4119270,9397,5482,4262,0,8185157
2012-04,8836,8843,5313,0,3296682,0,8800,0,0,31565,0,0,0,0,176310,8142,5874,5820,3950,2071751,6551,0,0,0,33609,13380,8134,4067,0,9119838
2012-05,5285,4756,3300,0,18382658,3200,0,0,0,169640,0,0,0,0,307912,4768,3540,3014,2211,1245995,0,0,0,0,15360,15000,8000,5000,0,1174484
2012-06,0,2700,0,0,21709649,3300,5927,0,0,306287,0,0,0,0,279048,3658,2599,2244,2000,918539,0,0,0,0,0,0,0,0,0,524386
2012-07,0,0,0,0,1676077,5100,5003,0,0,15608544,0,0,0,0,321304,5458,4399,4014,4580,847937,0,0,0,0,2100586,0,0,0,0,521682
2012-08,12000,0,2500,2800,587590,6932,5940,0,0,6048311,0,0,0,0,519178,6685,6127,3386,2800,1111505,5302,1688,1150,0,18300914,11000,4000,0,0,472040
