일자,최고기온,평균기온,최저기온,강수량
2011-01-01,5.25,-3.81,-11.05,10.15
2011-02-01,17.25,1.875,-9.1,65.55
2011-03-01,18.45,3.78,-5.5,35.55
2011-04-01,22.15,10.105,-1.1,145.15
2011-05-01,26.5,16.365,6.15,103.95
2011-06-01,30.3,20.655,13.5,208.2
2011-07-01,32.9,24.595,17,229.9
2011-08-01,32.15,23.815,17.85,300.45
2011-09-01,32.85,20.885,9.9,51.2
2011-10-01,25.55,14.08,2.5,35.1
2011-11-01,25.6,11.68,-2.05,176.3
2011-12-01,11.8,1.465,-7.4,20.6
2012-01-01,10.85,-0.535,-9.65,16.6
2012-02-01,11.45,-0.645,-10.6,55.15
2012-03-01,19.95,4.845,-6,149.5
2012-04-01,23.1,11.425,-1.45,214.65
2012-05-01,28.45,17.63,8.7,44.95
2012-06-01,28.65,20.755,14.35,63.15
2012-07-01,33,24.24,17.9,283.35
2012-08-01,34.8,25.815,18.15,528.2
2012-09-01,28.9,19.745,12.3,385.9
2012-10-01,25.25,14.89,3.35,55.75
2012-11-01,18.35,7.475,-1.7,66.95
2012-12-01,14.7,0.57,-10.45,82.9
2013-01-01,14.25,-0.33,-11.45,19.95
2013-02-01,16.55,1.22,-8.95,66.45
2013-03-01,21.95,5.93,-4.9,102
2013-04-01,22.45,9.49,-1.5,63.4
2013-05-01,29.75,16.71,4.6,190.5
2013-06-01,29.55,20.935,13.3,86.4
2013-07-01,32.25,24.945,20.8,193.95
2013-08-01,35.25,26.41,18.15,182.1
2013-09-01,30.1,20.875,10.45,134.3
2013-10-01,27.8,15.63,3.8,17.65
2013-11-01,23.7,8.02,-2.9,89.15
2013-12-01,15,2.445,-6.15,20.35
2014-01-01,13.55,1.37,-9.15,19.6
2014-02-01,17.85,2.57,-7.95,24.65
2014-03-01,21.95,6.76,-6,106.15
2014-04-01,24.7,12.45,0.95,128.35
2014-05-01,29.35,16.725,4.7,118.55
2014-06-01,29.05,20.335,15.05,74.3
2014-07-01,32.4,23.19,17.25,141.75
2014-08-01,31.3,22.91,17.1,368.05
2014-09-01,28.95,20.515,13.35,90.15
2014-10-01,25.8,15.485,4.65,107.65
2014-11-01,19.2,9.785,-0.3,91.9
2014-12-01,10.85,1.175,-9.75,66.6
2015-01-01,12.95,1.525,-6.05,37.95
2015-02-01,11.85,1.955,-7.9,38.35
2015-03-01,22.25,6.54,-6.4,35.85
2015-04-01,25.15,11.725,1.2,242.1
2015-05-01,29.05,16.89,5,116.35
2015-06-01,29.05,19.57,11.15,146.6
2015-07-01,31.65,22.785,14.5,199.35
2015-08-01,32.95,23.625,16.9,157.9
2015-09-01,28.65,19.475,12.45,86.4
2015-10-01,25.45,14.895,3,65.45
2015-11-01,22.05,10.22,-1.7,102.15
2015-12-01,16.3,4.1,-5.15,57.05
2016-01-01,13.5,-0.33,-11.25,37.35
2016-02-01,15.45,1.64,-7.5,39.85
2016-03-01,21.25,5.87,-6.9,95.45
2016-04-01,24.6,12.895,3.9,190.45
2016-05-01,28.5,17.01,6.4,124.1
2016-06-01,28.9,20.405,12.65,135.7
