일자,최고 기온,평균 기온,최저 기온,강수량
2011-01,7.46,-1.37,-10.28,3.3
2011-02,17.76,3.712,-7.64,56.44
2011-03,19,5.736,-3.74,41.94
2011-04,24.62,11.506,0.12,107.22
2011-05,27.32,17.184,7.26,111.84
2011-06,30.02,21.332,13.56,263.76
2011-07,34.2,25.488,18.14,253.6
2011-08,33.1,25.1,18.94,283.74
2011-09,32.7,22.086,11.26,53
2011-10,25.96,15.522,3.94,54.76
2011-11,25,12.954,-0.12,187.92
2011-12,13.94,3.436,-6.04,19.76
2012-01,11.8,1.636,-8.32,9.6
2012-02,13.28,1.552,-10.06,40.38
2012-03,19.46,6.914,-4.16,140.64
2012-04,24.96,12.774,0.76,234.38
2012-05,28.44,18.232,9.14,51.82
2012-06,30.02,21.836,14.76,89.46
2012-07,34,25.458,19.06,246.02
2012-08,35.46,27.002,19.4,533.84
2012-09,29.3,21.102,12.08,225.16
2012-10,25.72,15.932,4.68,48.82
2012-11,18.42,9.024,-0.72,63.02
2012-12,14.14,2.176,-8.62,84.74
2013-01,14.24,1.312,-10.08,26.96
2013-02,17.26,3.264,-7.5,60.12
2013-03,23.72,7.736,-2.98,68.34
2013-04,23.68,11.12,0.72,77.06
2013-05,29.4,17.462,5.86,152.8
2013-06,29.96,21.912,13.18,105.06
2013-07,33.36,26.384,20.78,161.72
2013-08,35.6,27.644,20.26,178.52
2013-09,31.12,22.31,12.64,102.14
2013-10,27.64,17.058,5.8,40.66
2013-11,22.78,9.416,-2,70.68
2013-12,15.14,4.286,-5.6,14.32
2014-01,14.88,2.894,-7.56,15.74
2014-02,18.26,4.49,-5.6,35.26
2014-03,22.46,8.598,-3.66,112.04
2014-04,25,13.608,3,103.62
2014-05,31.28,17.862,5.46,119.42
2014-06,29.94,21.4,14.84,124.62
2014-07,33.68,24.56,17.92,217.4
2014-08,32.52,24.028,17.48,463.18
2014-09,29.76,21.684,13.76,117.5
2014-10,26.22,16.406,6,80.02
2014-11,20.62,10.8,0.12,85.06
2014-12,13.18,2.898,-7.42,34.04
2015-01,13.74,3.304,-6.08,40.36
2015-02,14.06,4.002,-6.88,61.16
2015-03,21.22,7.664,-4.74,71.72
2015-04,25.38,12.86,3.42,180.24
2015-05,29.34,17.856,6.42,156.86
2015-06,30.22,20.74,11.78,161.04
2015-07,32.9,23.72,15.52,206.28
2015-08,33.88,24.91,17.44,121.5
2015-09,29.06,20.71,13.26,111.46
2015-10,25.7,15.856,4,63.42
2015-11,21.64,11.758,-0.54,116.46
2015-12,15.62,5.766,-5,56.08
2016-01,14.86,1.53,-10.7,43.02
2016-02,16.72,3.468,-6.74,53.84
2016-03,20.32,7.636,-5.3,84.2
2016-04,24.2,13.412,4.04,200.44
2016-05,28.86,17.858,7.56,125.22
2016-06,29.82,21.38,12.28,137.72
2016-07,33.36,25.124,18.64,198.14
2016-08,35.18,26.752,17,71.16
2016-09,30.36,22.098,14.42,224.52
2016-10,27.82,17.832,10.18,215.58
2016-11,13.08,7.88,3.7,2.725
2016-12,17.74,5.41,-4.36,63.7
2017-01,14.06,2.548,-7.7,16.24
2017-02,15.56,3.374,-6.76,38.9
2017-03,18.38,6.884,-3.46,25.8
2017-04,26.24,13.538,1.56,89.04
2017-05,30.6,17.972,7.86,32.22
2017-06,30.92,21.214,11.46,120.16
2017-07,34.2,26.128,19.24,167.48
2017-08,35.76,26.21,16.84,184.92
2017-09,29.54,21.38,11,101.3
2017-10,27.44,16.352,3.4,125.04
2017-11,21.46,8.642,-1.84,2.54
