거래일자,양파(일반) 1.0 kg 그물망 /특,양파(일반) 1.0 kg 그물망 /상,양파(일반) 1.0 kg 그물망 /중,양파(일반) 1.0 kg 그물망 /하,양파(전체) 반입량,만생양파 1.0 kg 그물망 /특,만생양파 1.0 kg 그물망 /상,만생양파 1.0 kg 그물망 /중,만생양파 반입량,저장양파 1.0 kg 그물망 /특,저장양파 1.0 kg 그물망 /중,저장양파 반입량,조생양파 1.0 kg 그물망 /특,조생양파 1.0 kg 그물망 /상,조생양파 1.0 kg 그물망 /중,조생양파 1.0 kg 그물망 /하,조생양파 반입량,기타 1.0 kg 그물망 /특,기타 1.0 kg 그물망 /상,기타 1.0 kg 그물망 /중,기타 1.0 kg 그물망 /하,기타 반입량
,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년
2011-01,0,0,0,0,6874167,7147,0,0,4064415,0,0,1692562,0,0,0,0,3400596,2790,0,0,0,6210173
2011-02,0,0,0,0,5128667,0,0,0,2702617,0,0,973044,0,0,0,0,2387007,2591,0,0,0,4839637
2011-03,0,0,0,0,8369126,0,0,0,4064670,0,0,2179855,0,0,0,0,3641997,0,0,0,0,7478763
2011-04,0,0,0,0,15877880,0,0,0,3005857,0,0,1864780,0,0,0,0,9054032,2482,0,0,0,8787714
2011-05,0,0,0,0,25190764,0,0,0,2159909,0,0,857924,0,0,0,0,11387511,3455,0,0,0,11847414
2011-06,0,0,0,0,17020979,0,0,0,5227432,0,0,923643,0,0,0,0,6813314,1120,0,0,0,15073583
2011-07,0,0,0,0,8643710,700,0,0,3898487,0,0,628484,0,0,0,0,4018267,892,0,0,0,9647398
2011-08,0,0,0,0,8955102,0,0,0,3603169,0,0,1075315,0,0,0,0,4010069,1922,0,0,0,10589474
2011-09,0,0,0,0,8023476,0,0,0,2871101,0,0,863840,0,0,0,0,3988902,1897,500,0,0,9053083
2011-10,0,0,0,0,8508984,0,0,0,5010877,0,0,1456547,0,1000,0,0,4107299,2658,0,0,0,8317173
2011-11,0,0,0,0,8766426,0,0,0,4730675,0,0,1640412,0,1000,0,0,3820970,843,0,0,0,8180692
2011-12,0,0,0,0,10366327,0,0,0,5131672,0,0,5755320,0,1000,0,0,4936430,739,0,0,0,8040577
2012-01,0,0,0,0,9537639,0,0,0,4627106,0,0,3949164,0,1050,0,0,4780285,0,0,0,0,7080184
2012-02,0,0,0,0,10842090,0,0,0,5259931,0,0,6076488,0,1000,0,0,4301711,2133,0,0,0,8112688
2012-03,0,0,0,0,12858451,0,0,0,5851481,0,0,3415920,0,1000,0,0,4277779,2129,0,0,0,8822089
2012-04,0,0,0,0,12902124,0,0,0,3679256,0,0,2182080,1000,1000,0,0,5996125,2123,0,0,0,8814000
2012-05,0,0,0,0,21882445,0,0,0,2186777,0,0,915481,0,1029,0,0,9071904,1510,0,0,0,11717910
2012-06,0,0,0,0,19744931,0,0,0,4035810,0,0,993292,0,0,0,0,6394428,846,0,0,0,16742766
2012-07,0,0,0,0,8883495,0,0,0,2615424,0,0,534174,0,0,0,0,3315935,10439,0,0,0,9037258
2012-08,0,0,0,0,9009347,0,0,0,1839886,0,0,710594,0,0,0,0,3493816,0,0,0,0,9269594
2012-09,0,0,0,0,8843672,0,0,0,2019258,0,0,1135340,0,0,0,0,3605989,2129,0,1000,0,10548149
2012-10,0,0,0,0,7136135,0,0,0,1783150,0,0,881254,0,0,0,0,1935864,1718,0,0,0,8149604
2012-11,0,0,0,0,8097047,0,0,0,1792477,0,0,1036025,0,0,0,0,2237089,2029,0,0,0,8522980
2012-12,0,0,0,0,6129839,0,0,0,1601705,0,0,932664,0,0,0,0,2176020,1649,0,0,0,6900808
2013-01,0,0,0,0,6418194,0,0,0,1402580,0,0,1359094,0,0,0,0,2180966,1548,0,0,0,7486455
2013-02,0,0,0,0,5168522,0,0,0,994942,0,0,886406,2808,0,0,0,1628243,2232,0,0,0,5610741
2013-03,0,1625,0,0,5586493,0,0,0,931389,0,0,1027070,2808,0,0,0,1528546,2419,0,0,0,6501563
2013-04,0,0,0,0,11171921,0,0,0,819477,0,0,729207,0,0,0,0,4383316,3465,0,0,0,6300394
