거래일자,양파(일반) 1.0 kg 그물망 /특,양파(일반) 1.0 kg 그물망 /상,양파(일반) 1.0 kg 그물망 /중,양파(일반) 1.0 kg 그물망 /하,양파(전체) 반입량,저장양파 1.0 kg 그물망 /특,저장양파 1.0 kg 그물망 /중,저장양파 반입량,기타 1.0 kg 그물망 /특,기타 1.0 kg 그물망 /상,기타 1.0 kg 그물망 /중,기타 1.0 kg 그물망 /하,기타 반입량
2011-01,0,0,0,0,6874167,0,0,1692562,2790,0,0,0,6210173
2011-02,0,0,0,0,5128667,0,0,973044,2591,0,0,0,4839637
2011-03,0,2145,1507,0,8369126,0,0,2179855,0,0,0,0,7478763
2011-04,0,1738,1006,0,15877880,0,0,1864780,2482,0,0,0,8787714
2011-05,0,1304,622,0,25190764,0,0,857924,3455,0,0,0,11847414
2011-06,0,1187,588,0,17020979,0,0,923643,1120,0,0,0,15073583
2011-07,0,1374,728,0,8643710,0,0,628484,892,0,0,0,9647398
2011-08,0,1454,805,0,8955102,0,0,1075315,1922,0,0,0,10589474
2011-09,0,1510,876,0,8023476,0,0,863840,1897,500,0,0,9053083
2011-10,0,1394,880,0,8508984,0,0,1456547,2658,0,0,0,8317173
2011-11,0,1497,1015,0,8766426,0,0,1640412,843,0,0,0,8180692
2011-12,0,1511,1005,0,10366327,0,0,5755320,739,0,0,0,8040577
2012-01,0,1500,1006,0,9537639,0,0,3949164,0,0,0,0,7080184
2012-02,0,1463,1098,0,10842090,0,0,6076488,2133,0,0,0,8112688
2012-03,0,1425,1048,0,12858451,0,0,3415920,2129,0,0,0,8822089
2012-04,0,1354,1020,0,12902124,0,0,2182080,2123,0,0,0,8814000
2012-05,0,1646,981,0,21882445,0,0,915481,1510,0,0,0,11717910
2012-06,0,1720,1196,0,19744931,0,0,993292,846,0,0,0,16742766
2012-07,0,1679,1086,0,8883495,0,0,534174,10439,0,0,0,9037258
2012-08,0,1724,1104,0,9009347,0,0,710594,0,0,0,0,9269594
2012-09,0,1717,1163,0,8843672,0,0,1135340,2129,0,1000,0,10548149
2012-10,0,1694,1182,0,7136135,0,0,881254,1718,0,0,0,8149604
2012-11,0,1822,1258,0,8097047,0,0,1036025,2029,0,0,0,8522980
2012-12,0,1940,1380,0,6129839,0,0,932664,1649,0,0,0,6900808
2013-01,0,2149,1532,0,6418194,0,0,1359094,1548,0,0,0,7486455
2013-02,0,2707,1949,0,5168522,0,0,886406,2232,0,0,0,5610741
2013-03,0,2967,2197,0,5586493,0,0,1027070,2419,0,0,0,6501563
2013-04,3567,0,2598,0,11171921,0,0,729207,3465,0,0,0,6300394
2013-05,3569,1819,2464,0,19052419,0,0,552437,3495,0,0,0,8566159
2013-06,0,2414,1718,0,23336366,0,0,944541,3486,0,0,0,17330692
2013-07,0,1932,1440,0,11644901,0,0,459206,1071,0,0,0,10761611
2013-08,0,1796,1252,0,9307029,0,0,429851,964,0,0,0,9053033
2013-09,0,1899,1261,0,9228964,0,0,423223,2114,0,0,0,9788504
2013-10,1866,892,1257,0,9424664,0,0,561177,1002,0,0,0,10218844
2013-11,1857,985,1274,0,9482649,0,0,628919,1029,0,0,0,11390341
2013-12,1852,0,1286,0,10221686,0,0,1042093,1062,0,0,0,10248436
2014-01,1804,0,1285,0,6988576,0,0,969608,1773,0,0,0,7398805
2014-02,1842,0,1257,0,6604831,0,0,820942,4313,0,0,0,7048372
2014-03,1668,0,1160,0,8644917,0,0,1023765,1160,0,0,0,8436565
2014-04,0,1561,1077,0,14710675,550,0,727050,885,0,0,0,7663525
2014-05,1544,1175,1084,0,16716324,0,0,779779,1155,0,0,0,10622685
2014-06,3650,2913,1096,0,18552079,0,0,1049642,630,0,0,0,12562109
2014-07,0,1294,1040,0,10840215,0,0,1198282,2850,2000,0,0,7314098
2014-08,1258,1299,1056,0,9723305,0,0,819517,0,0,0,0,6201535
2014-09,2560,2013,1054,0,12757110,0,0,3432062,600,0,0,0,9806210
2014-10,1347,650,1053,400,14979723,720,0,4453292,607,0,0,0,12047396
2014-11,0,1290,1049,0,13247661,610,0,4383155,1050,0,0,0,11449440
2014-12,0,1275,1041,0,16188256,650,0,4866820,700,0,0,0,10292760
2015-01,0,1306,1036,0,13916582,0,0,4935804,600,0,0,0,10696722
2015-02,900,1313,1042,0,11005449,646,0,5064789,660,0,0,0,9499536
