거래일자,양파(일반) 1.0 kg 그물망 /특,양파(일반) 1.0 kg 그물망 /상,양파(일반) 1.0 kg 그물망 /중,양파(일반) 1.0 kg 그물망 /하,양파(전체) 반입량,만생양파 1.0 kg 그물망 /특,만생양파 1.0 kg 그물망 /상,만생양파 1.0 kg 그물망 /중,만생양파 반입량,저장양파 1.0 kg 그물망 /특,저장양파 1.0 kg 그물망 /중,저장양파 반입량,조생양파 1.0 kg 그물망 /특,조생양파 1.0 kg 그물망 /상,조생양파 1.0 kg 그물망 /중,조생양파 1.0 kg 그물망 /하,조생양파 반입량,기타 1.0 kg 그물망 /특,기타 1.0 kg 그물망 /상,기타 1.0 kg 그물망 /중,기타 1.0 kg 그물망 /하,기타 반입량
2015-01-01,,,,,13916582,619,,,3786154,,,4935804,,,,,401340,600,,,,10696722
2015-02-01,900,,,,11005449,746,,,3175228,646,,5064789,,,,,,660,,,,9499536
2015-03-01,1031,,,,13611617,,,,3660763,2042,,5389042,,,,,2324,842,,,,12055334
2015-04-01,1109,,1100,,22077825,800,,,2638003,946,,4038779,,,,,6362671,855,,,,14524703
2015-05-01,1200,,1200,,26358838,,,,2842755,1280,,2746511,700,,,,11667414,1221,,,,14394715
2015-06-01,1345,,1267,,21043412,,,,4190003,900,,5939277,644,,,,371395,983,,,,17018908
2015-07-01,1571,,1500,,11093561,,,,6542544,1100,,3494783,,,,,4040,1302,,,,9826525
2015-08-01,1478,,,,9229835,,,,6153319,1207,,4009643,,,,,45,1542,1144,1100,,8670315
2015-09-01,1838,,1533,,8490471,,,,2219517,1293,,7567567,,,,,14400,1516,1000,,,7584922
2015-10-01,1888,,1900,,8880530,,,,2528175,1300,,6647376,,,,,,2790,,,,7191595
2015-11-01,1900,,,,5140211,,,,1862025,1588,,4475860,,,,,,1858,,,,6130467
2015-12-01,2225,,,,5205746,1900,,,925953,1900,,4153752,,,,,,2641,,,,6462450
2016-01-01,2200,,,,5764941,,,,1048966,,,5234267,,,,,,2033,,,,6834020
2016-02-01,2200,,,,6459564,,,,895543,,,4894985,,,,,150,1918,,,,8487500
2016-03-01,2200,,2200,,7560688,,,,1136600,,,7681175,,,,,78804,1944,,,,14543979
2016-04-01,2071,,,,17277543,,,,609553,,,2118330,2020,,,,27208176,1985,,,,14241438
2016-05-01,1200,,,,16873516,,,,450260,,,802420,1650,,,,28383651,1269,,,,22699984
2016-06-01,1200,,,,16648589,,,,1464795,,,860901,,,,,1176905,1200,,,,29527569
2016-07-01,1200,,,,8029492,,,,3331718,,,883934,,,,,3477,1100,,,,14180714
2016-08-01,1250,,,,9600743,13000,9200,,4887455,,,3361548,,,,,152,769,,,,16128590
2016-09-01,1400,,,,9254523,,,,9154180,,,4745921,,,,,1500,1922,,,,15799503
2016-10-01,1350,,1400,,7794232,,,,7392271,,,3754846,,,,,175,1255,,,,12329724
2016-11-01,1400,,1450,,9789585,,,,9407448,,,4883526,,,,,1422,1303,,1000,,15161459
2016-12-01,2333,,,,9072989,627,,,7800456,684,,6201005,,,,,,1178,,,,14252132
2017-01-01,1900,,900,,8035271,500,,,3057983,,,5005241,,,,,13041,1385,,,,11412919
2017-02-01,,,,,6372340,,,,2699700,,,5776626,,,,,,1696,,,,9904919
2017-03-01,2400,,,,7762689,,,,3705951,,,4752619,,,,,138318,1766,,,,12896056
2017-04-01,2463,,2700,,15189698,,,,997917,,,2533390,,,,,25399398,1443,,,,12117560
2017-05-01,1325,,,,15312054,,,,789494,,,1306427,1620,,,,28472156,1420,,,,17565821
2017-06-01,1200,,1200,,14758509,,,,988609,,,3219839,,,,,5698964,2764,,,,23250420
2017-07-01,1280,,1200,900,6830068,,,,2654438,,,1822815,,,,,2780574,1469,,,,12359888
2017-08-01,1327,1300,,,7085556,,,,2780479,,,2451978,,,,,2459866,1258,1200,,,12107608
2017-09-01,1536,1300,,,7847715,,,,3832957,,,3450977,,,,,3104688,1300,,,,12925422
2017-10-01,1600,1300,,,5899830,,,,3163683,,,2801993,,,,,1445121,1430,,,,8010351
2017-11-01,1582,1250,,,7305250,,,,3290187,,,6037472,,,,,99050,1600,,,1530,12608906
2017-12-01,1600,1300,1500,,6932989,,,,3304390,,,6790149,,,,,238129,1310,,,,10528208
2018-01-01,1578,1217,1300,,7499431,,,,3314621,,,5058744,,,,,219786,1438,,,,9999974
2018-02-01,1600,1200,1200,,6462395,,,,3246332,,,5824407,,,,,127890,1503,,,,9463713
2018-03-01,1769,1051,1100,,9351092,,,,4364169,,,8147635,,,,,1313292,1325,,,,20625203
2018-04-01,1340,1121,1100,,11341987,,,,1664120,,,4821877,,,,,38221603,,,,,34886358
2018-05-01,1549,1071,,,14288971,,,,638402,,,1477064,,,,,23885965,4506,,,,46168298
2018-06-01,1105,800,800,,18794137,,,,1892168,,,4163671,,,,,5142120,2666,,,,60813074
2018-07-01,816,700,,,9238917,,,,6774477,,,3335394,,,,,439147,3345,,,,26309473
2018-08-01,800,965,,,10016759,,,,8061349,,,3275384,,,,,220780,1102,,,,22981565
2018-09-01,800,843,800,,9718157,,,,6868652,,,6024052,,,,,269107,1310,,,,23101131
2018-10-01,778,967,,,11811112,,,,5032115,,,6867924,,,,,242136,800,,700,,28315538
2018-11-01,800,834,,,11518178,200,,,4351971,,,7395750,,,,,34115,875,,,,22316181
2018-12-01,875,800,,,7993584,,,,2324616,,,7024854,,,,,13800,670,,,,13074185
2019-01-01,1000,800,,,11386045,,,,4934608,,,7170475,,,,,206330,772,,,,19278412
2019-02-01,800,837,,,8482183,,,,3253570,,550,5837418,,,,,178041,814,,,,16962626
2019-03-01,883,850,,,12972633,,,,4360059,,,7881486,,,,,7450791,692,500,,,24938238
2019-04-01,1300,1205,,,16349938,,,,1395553,,,2448035,,20000,,10000,31056490,,,,,32399422
2019-05-01,1350,1398,,,20763081,,,,750932,,,1345023,,450,1000,,29228882,1699,,1300,,36430971
2019-06-01,1200,1104,,,23896820,,,,2477948,,,1720114,,,,,2629469,1394,,1633,,41916016
2019-07-01,900,902,,,12807568,,,,9178104,335,,593418,800,,,,898097,848,1208,,,18881374
2019-08-01,900,854,,,12772726,,,,8382175,,,4375666,,,,,1320007,907,1108,,,13575116
2019-09-01,900,993,,,12329636,,,,4628096,,,6335444,,,,,294292,935,1007,,,16824889
2019-10-01,900,1000,,,14169127,,,,5331207,,,6087927,,,,,227165,975,1007,,,13831846
2019-11-01,950,1070,,,13250381,,,,4764212,,,7633580,,,,,259932,890,1007,,,14784695
2019-12-01,1209,1367,,,13573706,,,,4931946,,,7014602,,,,,206445,1246,1007,,,16501754
2020-01-01,1560,1390,,,11298780,,,,4697395,,,6839800,,,,,179413,1218,1129,400,,16282754
2020-02-01,1838,1518,,,12378318,,,,4422268,,,5144703,,,,,136950,1543,1750,,,16929841
2020-03-01,2180,2010,,,13760804,,,,4026456,,,5130417,,,,,7401651,1784,350,,,20340370
2020-04-01,1934,2100,2200,,15958521,,,,1008293,,,1433506,,,,,42956240,1611,,,,27765798
2020-05-01,1967,,1700,,18436547,,,,752465,,,730243,,,,,26940752,1456,,2500,,33676863
2020-06-01,1614,967,,,25520144,,,,6622169,,,914479,,,,,2523865,1335,,,,35611100
2020-07-01,1514,1138,,,15022105,,,,10996994,,,3859998,,,,,1097780,1200,1575,,,11006676
2020-08-01,3064,1300,,,13006304,,,,5187926,,,8030901,,,,,895903,1617,,1400,,11205384
2020-09-01,2129,1725,,,14683073,,,,5187342,,,10586685,,,,,910505,1825,,2800,,11712069
2020-10-01,2200,1800,,,13567706,,,,3826548,1800,,5546410,,,,,989646,1369,,950,,11722141
2020-11-01,2200,1700,,,14104641,,,,4433809,1863,,7665432,,,,,939633,1130,,667,,13126886
2020-12-01,2357,1300,1900,,12713812,,,,3282039,1800,,9478399,,,,,807799,1300,,,,11410239
2021-01-01,,,,,,,,,,,,,,,,,,,,,,
