년월,고_평균기온(℃),장_평균기온(℃),평균기온(℃),고_최저기온(℃),장_최저기온(℃),최저기온(℃),고_최고기온(℃),장_최고기온(℃),최고기온(℃),고_강수량(mm),장_강수량(mm),강수량(mm)
2015-01-01,2.9,2.2,2.55,-6.3,-7,-6.65,13,13.3,13.15,30.5,25.6,28.05
2015-02-01,3.8,3.2,3.5,-7.4,-8,-7.7,12.6,12,12.3,51.5,29.4,40.45
2015-03-01,8,7.4,7.7,-4.3,-4.9,-4.6,21.4,21.8,21.6,77.9,39.5,58.7
2015-04-01,13.3,12.9,13.1,2.8,1.8,2.3,26.9,28.3,27.6,297.6,178.6,238.1
2015-05-01,18.4,18.3,18.35,4.3,4,4.15,31.3,32.8,32.05,153.5,124.5,139
2015-06-01,20.9,21.2,21.05,11.8,11,11.4,30,31.8,30.9,113.6,104.9,109.25
2015-07-01,24,24.5,24.25,15.8,15.6,15.7,32.7,34.7,33.7,249.9,231,240.45
2015-08-01,24.8,25.1,24.95,16.4,16.6,16.5,34.2,35.3,34.75,166,149,157.5
2015-09-01,20.8,20.4,20.6,12.7,11.9,12.3,29.1,29.3,29.2,82.8,64.4,73.6
2015-10-01,15.7,15.1,15.4,1.9,2.7,2.3,26.3,26.4,26.35,62,77.9,69.95
2015-11-01,11.5,11.4,11.45,0.3,0.3,0.3,22.3,22.5,22.4,70.1,84.3,77.2
2015-12-01,5.4,5.1,5.25,-6.1,-6.4,-6.25,16.2,16.8,16.5,24.3,51.9,38.1
2016-01-01,1.3,1,1.15,-9.3,-10.5,-9.9,14.7,16.1,15.4,57.5,54,55.75
2016-02-01,3.3,2.9,3.1,-7.5,-7.4,-7.45,16.8,17.1,16.95,56.2,50.5,53.35
2016-03-01,7.8,7.4,7.6,-5.8,-7.1,-6.45,21.4,22.2,21.8,84.2,90.3,87.25
2016-04-01,13.8,14.1,13.95,4.1,3.4,3.75,24.8,25.7,25.25,264.7,222.9,243.8
2016-05-01,18,18.2,18.1,6.2,5.9,6.05,30.3,29.5,29.9,128.2,133.2,130.7
2016-06-01,21.5,21.9,21.7,12.1,12.8,12.45,29.3,30,29.65,117.5,141.5,129.5
2016-07-01,25.3,25.7,25.5,19.2,19.2,19.2,33.9,34.3,34.1,173.3,208.3,190.8
2016-08-01,26.6,26.7,26.65,16.1,16.4,16.25,36,36.2,36.1,47.4,50.1,48.75
