년월,최고기온,평균기온,최저기온,강수량
2011-01-01,7.3,-3.6,-17.1,0
2011-02-01,20.6,2.4,-11.4,61.5
2011-03-01,22.4,5.7,-6.3,23.5
2011-04-01,26.3,12.2,-1.9,129
2011-05-01,29.8,18,5.9,146.2
2011-06-01,33.2,23.1,14.9,236
2011-07-01,33.4,25.9,17.6,654.4
2011-08-01,33.4,25.2,18.4,256
2011-09-01,33.6,21.4,8.4,30.3
2011-10-01,26.8,13.8,-0.6,93.5
2011-11-01,25.1,10.9,-3.5,130.9
2011-12-01,13.4,0.9,-10.5,5
2012-01-01,11.3,-0.2,-12.7,5.6
2012-02-01,16.2,0.3,-14.5,7.4
2012-03-01,22.2,7.2,-7.1,106.5
2012-04-01,29.3,14.2,-0.9,136.5
2012-05-01,33.1,19.8,8,52.4
2012-06-01,31.3,22.3,14.6,43.3
2012-07-01,35.7,26.4,19.5,221.5
2012-08-01,34.9,25.4,17.8,313.1
2012-09-01,30.2,19.4,7.7,339.1
2012-10-01,26.2,13.4,1.6,54.1
2012-11-01,18.9,6.2,-5.3,55
2012-12-01,13.3,-0.9,-11.9,69.1
2013-01-01,13.6,-1.7,-14.7,13.5
2013-02-01,18.7,1.4,-11.9,54.2
2013-03-01,23.5,8.3,-6.7,61.6
2013-04-01,24.4,10.8,-2.6,63.3
2013-05-01,34.1,18.5,5,151.2
2013-06-01,33.3,22.9,13,100.5
2013-07-01,33.3,26,18.2,209.7
2013-08-01,35.4,26.4,17.9,150.5
2013-09-01,30.1,20.1,8.7,57
2013-10-01,27.4,14.3,0.5,82.6
2013-11-01,21.2,5.8,-6.3,42.8
2013-12-01,12.8,0.4,-11.1,2
2014-01-01,15.2,-0.6,-12.8,7
2014-02-01,21.6,2.7,-10,15
2014-03-01,23,7.3,-8.5,103.9
2014-04-01,26.7,12.1,-1.6,109
2014-05-01,34.1,17.6,1.7,56.2
2014-06-01,30.6,20.8,13.7,84.2
2014-07-01,35,23.9,15.6,146
2014-08-01,32,22.9,13.6,584.1
2014-09-01,31.6,19.8,10,95.2
2014-10-01,25.6,13.3,1.2,106.5
2014-11-01,19,7.1,-5.1,60.8
2014-12-01,12.1,-0.6,-9.9,12.5
2015-01-01,11,-0.1,-11.9,21.1
2015-02-01,16.1,1.6,-12.4,26
2015-03-01,24.6,7.3,-6.7,67.3
2015-04-01,29.9,12.9,1.4,177.1
2015-05-01,34.8,18.8,3.2,77.6
2015-06-01,31,20.5,9.2,74.6
2015-07-01,33.7,23.3,14.2,204.1
2015-08-01,34.7,23.9,17.1,123.5
2015-09-01,28.7,18.8,9,116.6
2015-10-01,25.8,13.1,-2,45.5
2015-11-01,22.6,10.3,-1.4,100.7
2015-12-01,15.3,3.9,-8.6,43.1
2016-01-01,16.4,-0.6,-13.9,32.2
2016-02-01,16.3,2.8,-9.3,44.2
2016-03-01,22,8,-8.8,112.2
