거래일자,봄무 1.0 kg 상자 /특,봄무 반입량,여름무 1.0 kg 상자 /특,여름무 1.0 kg 상자 /상,여름무 반입량,고냉지무 1.0 kg 상자 /특,고냉지무 반입량,가을무 1.0 kg 상자 /특,가을무 반입량,저장무 1.0 kg 상자 /특,저장무 반입량
2015-01-01,,2780403,,,208009,,,1414,199748,1265,10844563
2015-02-01,,3440189,,800,264519,,,,20732,1221,21771253
2015-03-01,,3739434,,4450,229010,,,,240,1261,25026380
2015-04-01,,3658880,,6235,175714,,,,,1311,23573100
2015-05-01,,5503804,,775,186496,,,,,1329,21203050
2015-06-01,1817,21098921,,5587,362262,,184000,,,1701,5191872
2015-07-01,2185,5500263,,6967,18412400,,2568730,,240,,94880
2015-08-01,1942,2441632,,8000,7373476,1870,16217483,,1000,,2660
2015-09-01,,3451468,,,7617762,1656,24339863,,217600,,21310
2015-10-01,,3155976,,8000,1530531,1405,5055878,,17590949,,73365
2015-11-01,,2253644,,8000,248478,1287,812130,1352,9146419,11000,367833
2015-12-01,,3158046,,8000,132333,,91652,1331,2839005,,13849774
2016-01-01,,2376206,,8000,158560,,6000,,17756,10750,17124463
2016-02-01,,4716094,,8000,90077,,,,748,8500,15334486
2016-03-01,,2830080,,8000,168105,,4,,6080,13214,26485991
2016-04-01,,2579228,,,162862,,,,,18714,23021698
2016-05-01,,7953736,,,229009,,70960,,,,22032588
2016-06-01,,23797394,,,1067915,,575580,,,,3811952
2016-07-01,,1522734,,,17402171,,2145708,,1140,,423458
2016-08-01,,145211,,,9171480,,15318484,,600,15857,353644
2016-09-01,,30244,,,10712446,,20846034,,238460,,447542
2016-10-01,,3388,,,2065484,,4023889,,12973241,,246231
2016-11-01,,2263,,,128010,,941644,,16290303,,343450
2016-12-01,,723,,,137915,,159830,,7873281,,12099273
2017-01-01,,120,,,169205,,,,81913,,19603223
2017-02-01,,120,,,156874,,40940,,7800,,17987811
2017-03-01,,3354,,,189439,,20780,,5100,,22709752
2017-04-01,,242978,,,140118,,,,,,22007960
2017-05-01,,13372694,,,148760,,318280,,,11900,13941728
2017-06-01,,17368577,,,978922,,624725,,39800,8000,382576
2017-07-01,,2706988,,,15134378,,1905495,,11780,8250,99256
2017-08-01,,235440,,,8962521,,10969188,,,,152262
2017-09-01,,305682,,,10460629,,16996668,,253971,13250,239158
2017-10-01,,234335,,,1831533,,3125662,,13008139,7250,152344
2017-11-01,,390977,,6933,223180,,604935,,15451554,8000,580562
2017-12-01,,387048,,6500,204746,,44570,,5696416,700,10476232
2018-01-01,,606169,,,202892,,32720,,144090,8000,13884369
2018-02-01,,659065,,,156068,,5300,,82616,20000,15597428
2018-03-01,,907098,,,113973,,1460,,2000,19000,15338378
2018-04-01,,567033,,,107247,,6200,,,,12751776
2018-05-01,,9697917,,,172197,,305280,,,,7848448
2018-06-01,,17487326,,,1134520,,355840,,,,260624
2018-07-01,,2120564,,8000,15772956,,693020,,,,209376
2018-08-01,,909394,,,9768009,,7720500,,,,278880
2018-09-01,,1128717,,,9025789,,15136866,,676987,,271980
2018-10-01,,1728334,,,1066497,,2338790,,19483735,,118820
2018-11-01,,1933321,,,336288,,392420,,13798419,,192449
2018-12-01,,496586,,,131202,,151060,,4813669,600,6509957
2019-01-01,,987387,,,218425,,31820,,800630,,16374086
2019-02-01,,389238,,,100845,,10980,,428895,,11624480
2019-03-01,,909821,,230,155736,,25480,,22450,,14786776
2019-04-01,,784478,,230,136368,,43980,,14700,,14812113
2019-05-01,,5711198,,,181911,,108940,,49520,8189,12503956
2019-06-01,693,11317947,,,440681,,351100,,33110,5569,3188067
2019-07-01,,2195230,,,15301861,,1087400,,49100,5589,384420
2019-08-01,,928225,,,9054519,,11309702,,51866,5955,644039
2019-09-01,,1076542,,,9310121,,12372070,,287840,8396,242532
2019-10-01,,1173730,,,3559963,,3289283,,14434261,14667,218029
2019-11-01,,1362143,,,119227,,480150,,13788059,11100,326139
2019-12-01,,676373,,,99226,,192420,,9478127,8278,3870464
2020-01-01,,232511,,,192409,,76480,6500,3206768,,14759395
2020-02-01,,1214477,,,168551,,43520,3000,525719,,13633652
2020-03-01,,748485,,,155188,,22956,,26253,,14229432
2020-04-01,,1162960,,,116683,,43360,,23500,,15341266
2020-05-01,,6074585,,,143310,,322780,,262288,,12507240
2020-06-01,,12708141,,,568450,1600,363605,,104090,,4641531
2020-07-01,,3122725,,,18353103,,887520,,84760,,373020
2020-08-01,,1829748,,,10085720,,7885840,,60780,,128880
2020-09-01,,2711419,,,10131868,,18026916,,1007937,,208930
2020-10-01,,2565491,,,4065181,,2145924,,14702997,,96518
2020-11-01,,2470672,,,334887,,344904,,15769461,,456045
2020-12-01,,1010913,,,348249,,263040,1900,6742001,,5160259
2021-01-01,,,,,,,,,,,
