강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 고창
기간 : 20160101~20200928

날짜,지점,강수량(mm)
2016-01-01,172,
2016-01-02,172,
2016-01-03,172,
2016-01-04,172,
2016-01-05,172,
2016-01-06,172,
2016-01-07,172,0
2016-01-08,172,1.8
2016-01-09,172,0
2016-01-10,172,
2016-01-11,172,
2016-01-12,172,0
2016-01-13,172,0.9
2016-01-14,172,2.1
2016-01-15,172,
2016-01-16,172,
2016-01-17,172,10.2
2016-01-18,172,2.2
2016-01-19,172,2.1
2016-01-20,172,0.2
2016-01-21,172,
2016-01-22,172,
2016-01-23,172,8.7
2016-01-24,172,11.9
2016-01-25,172,3.7
2016-01-26,172,0
2016-01-27,172,
2016-01-28,172,3.9
2016-01-29,172,5.9
2016-01-30,172,
2016-01-31,172,
2016-02-01,172,0
2016-02-02,172,
2016-02-03,172,
2016-02-04,172,
2016-02-05,172,
2016-02-06,172,0.3
2016-02-07,172,
2016-02-08,172,
2016-02-09,172,
2016-02-10,172,
2016-02-11,172,0.3
2016-02-12,172,12.8
2016-02-13,172,4.3
2016-02-14,172,0
2016-02-15,172,1.9
2016-02-16,172,0.4
2016-02-17,172,0
2016-02-18,172,
2016-02-19,172,
2016-02-20,172,
2016-02-21,172,
2016-02-22,172,
2016-02-23,172,0
2016-02-24,172,0
2016-02-25,172,0.2
2016-02-26,172,0.3
2016-02-27,172,
2016-02-28,172,8.7
2016-02-29,172,0.8
2016-03-01,172,
2016-03-02,172,
2016-03-03,172,
2016-03-04,172,0.7
2016-03-05,172,2.1
2016-03-06,172,
2016-03-07,172,0
2016-03-08,172,0.8
2016-03-09,172,
2016-03-10,172,
2016-03-11,172,0
2016-03-12,172,
2016-03-13,172,
2016-03-14,172,
2016-03-15,172,
2016-03-16,172,
2016-03-17,172,
2016-03-18,172,16.4
2016-03-19,172,
2016-03-20,172,
2016-03-21,172,
2016-03-22,172,
2016-03-23,172,
2016-03-24,172,
2016-03-25,172,
2016-03-26,172,
2016-03-27,172,
2016-03-28,172,
2016-03-29,172,
2016-03-30,172,
2016-03-31,172,
2016-04-01,172,
2016-04-02,172,
2016-04-03,172,0.2
2016-04-04,172,0.3
2016-04-05,172,
2016-04-06,172,37.1
2016-04-07,172,15.7
2016-04-08,172,
2016-04-09,172,
2016-04-10,172,
2016-04-11,172,
2016-04-12,172,0.2
2016-04-13,172,5.3
2016-04-14,172,
2016-04-15,172,
2016-04-16,172,33.2
2016-04-17,172,0.4
2016-04-18,172,0
2016-04-19,172,
2016-04-20,172,1.8
2016-04-21,172,18.9
2016-04-22,172,
2016-04-23,172,
2016-04-24,172,
2016-04-25,172,
2016-04-26,172,5.6
2016-04-27,172,49.6
2016-04-28,172,7.9
2016-04-29,172,
2016-04-30,172,
2016-05-01,172,
2016-05-02,172,13
2016-05-03,172,21.6
2016-05-04,172,
2016-05-05,172,0.5
2016-05-06,172,
2016-05-07,172,
2016-05-08,172,0
2016-05-09,172,0
2016-05-10,172,21.6
2016-05-11,172,
2016-05-12,172,
2016-05-13,172,
2016-05-14,172,
2016-05-15,172,14.3
2016-05-16,172,6.7
2016-05-17,172,
2016-05-18,172,
2016-05-19,172,
2016-05-20,172,
2016-05-21,172,
2016-05-22,172,
2016-05-23,172,
2016-05-24,172,27.4
2016-05-25,172,
2016-05-26,172,
2016-05-27,172,0
2016-05-28,172,0
2016-05-29,172,0.7
2016-05-30,172,
2016-05-31,172,
2016-06-01,172,
2016-06-02,172,
2016-06-03,172,
2016-06-04,172,16.6
2016-06-05,172,
2016-06-06,172,0.3
2016-06-07,172,0
2016-06-08,172,
2016-06-09,172,
2016-06-10,172,
2016-06-11,172,0
2016-06-12,172,0
2016-06-13,172,
2016-06-14,172,
2016-06-15,172,6.6
2016-06-16,172,0
2016-06-17,172,
2016-06-18,172,0.1
2016-06-19,172,0
2016-06-20,172,6.1
2016-06-21,172,
2016-06-22,172,3.3
2016-06-23,172,0
2016-06-24,172,40.4
2016-06-25,172,
2016-06-26,172,
2016-06-27,172,0
2016-06-28,172,
2016-06-29,172,0.8
2016-06-30,172,0.2
2016-07-01,172,28.5
2016-07-02,172,43.5
2016-07-03,172,26
2016-07-04,172,33.2
2016-07-05,172,0.4
2016-07-06,172,11.4
2016-07-07,172,0.1
2016-07-08,172,13.2
2016-07-09,172,
2016-07-10,172,
2016-07-11,172,6.7
2016-07-12,172,8.4
2016-07-13,172,0
2016-07-14,172,0
2016-07-15,172,1.1
2016-07-16,172,10.2
2016-07-17,172,0
2016-07-18,172,
2016-07-19,172,
2016-07-20,172,
2016-07-21,172,
2016-07-22,172,
2016-07-23,172,
2016-07-24,172,
2016-07-25,172,
2016-07-26,172,
2016-07-27,172,15.8
2016-07-28,172,0
2016-07-29,172,
2016-07-30,172,
2016-07-31,172,
2016-08-01,172,
2016-08-02,172,0
2016-08-03,172,21.3
2016-08-04,172,0
2016-08-05,172,0
2016-08-06,172,
2016-08-07,172,0
2016-08-08,172,
2016-08-09,172,
2016-08-10,172,
2016-08-11,172,
2016-08-12,172,
2016-08-13,172,
2016-08-14,172,
2016-08-15,172,14.5
2016-08-16,172,
2016-08-17,172,
2016-08-18,172,0
2016-08-19,172,
2016-08-20,172,
2016-08-21,172,
2016-08-22,172,
2016-08-23,172,0.8
2016-08-24,172,
2016-08-25,172,
2016-08-26,172,6.6
2016-08-27,172,2.8
2016-08-28,172,1
2016-08-29,172,
2016-08-30,172,0
2016-08-31,172,0
2016-09-01,172,
2016-09-02,172,
2016-09-03,172,
2016-09-04,172,0.2
2016-09-05,172,
2016-09-06,172,
2016-09-07,172,0.6
2016-09-08,172,
2016-09-09,172,
2016-09-10,172,0
2016-09-11,172,
2016-09-12,172,0.9
2016-09-13,172,
2016-09-14,172,
2016-09-15,172,
2016-09-16,172,19.6
2016-09-17,172,113.3
2016-09-18,172,7.1
2016-09-19,172,
2016-09-20,172,
2016-09-21,172,
2016-09-22,172,
2016-09-23,172,
2016-09-24,172,
2016-09-25,172,
2016-09-26,172,1.1
2016-09-27,172,0
2016-09-28,172,1.9
2016-09-29,172,0.3
2016-09-30,172,12.7
2016-10-01,172,10.4
2016-10-02,172,4.7
2016-10-03,172,5.3
2016-10-04,172,0
2016-10-05,172,45.4
2016-10-06,172,
2016-10-07,172,9.2
2016-10-08,172,24.2
2016-10-09,172,
2016-10-10,172,
2016-10-11,172,
2016-10-12,172,
2016-10-13,172,
2016-10-14,172,
2016-10-15,172,
2016-10-16,172,47.7
2016-10-17,172,1.8
2016-10-18,172,
2016-10-19,172,
2016-10-20,172,
2016-10-21,172,0
2016-10-22,172,0
2016-10-23,172,2.9
2016-10-24,172,0.5
2016-10-25,172,10
2016-10-26,172,0
2016-10-27,172,0
2016-10-28,172,2
2016-10-29,172,
2016-10-30,172,
2016-10-31,172,0
2016-11-01,172,
2016-11-02,172,
2016-11-03,172,
2016-11-04,172,
2016-11-05,172,
2016-11-06,172,
2016-11-07,172,1.5
2016-11-08,172,3.8
2016-11-09,172,
2016-11-10,172,7
2016-11-11,172,1.6
2016-11-12,172,
2016-11-13,172,0
2016-11-14,172,0.7
2016-11-15,172,
2016-11-16,172,
2016-11-17,172,
2016-11-18,172,5.5
2016-11-19,172,0.3
2016-11-20,172,
2016-11-21,172,0
2016-11-22,172,0
2016-11-23,172,
2016-11-24,172,
2016-11-25,172,
2016-11-26,172,4.7
2016-11-27,172,0
2016-11-28,172,
2016-11-29,172,
2016-11-30,172,2
2016-12-01,172,0.1
2016-12-02,172,
2016-12-03,172,
2016-12-04,172,
2016-12-05,172,
2016-12-06,172,
2016-12-07,172,0
2016-12-08,172,0
2016-12-09,172,0.8
2016-12-10,172,
2016-12-11,172,
2016-12-12,172,0.6
2016-12-13,172,
2016-12-14,172,
2016-12-15,172,3.4
2016-12-16,172,
2016-12-17,172,
2016-12-18,172,0.2
2016-12-19,172,1.2
2016-12-20,172,
2016-12-21,172,11.5
2016-12-22,172,6.8
2016-12-23,172,0.8
2016-12-24,172,
2016-12-25,172,0
2016-12-26,172,10.6
2016-12-27,172,0
2016-12-28,172,
2016-12-29,172,0.5
2016-12-30,172,
2016-12-31,172,0
2017-01-01,172,
2017-01-02,172,0
2017-01-03,172,
2017-01-04,172,
2017-01-05,172,0
2017-01-06,172,0
2017-01-07,172,
2017-01-08,172,0
2017-01-09,172,0
2017-01-10,172,
2017-01-11,172,0
2017-01-12,172,0
2017-01-13,172,0.2
2017-01-14,172,2
2017-01-15,172,
2017-01-16,172,
2017-01-17,172,
2017-01-18,172,
2017-01-19,172,0
2017-01-20,172,2.6
2017-01-21,172,0.5
2017-01-22,172,3.2
2017-01-23,172,7.9
2017-01-24,172,0
2017-01-25,172,
2017-01-26,172,
2017-01-27,172,0.9
2017-01-28,172,
2017-01-29,172,2.8
2017-01-30,172,0.6
2017-01-31,172,
2017-02-01,172,
2017-02-02,172,
2017-02-03,172,
2017-02-04,172,0.1
2017-02-05,172,2.6
2017-02-06,172,
2017-02-07,172,
2017-02-08,172,0.3
2017-02-09,172,1.4
2017-02-10,172,5.9
2017-02-11,172,1.1
2017-02-12,172,0
2017-02-13,172,0
2017-02-14,172,
2017-02-15,172,
