기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 고창
기간 : 20160101~20200928

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2016-01-01,172,3.3,-1.5,8.2
2016-01-02,172,6.9,0.6,12.9
2016-01-03,172,6.9,2.4,13.5
2016-01-04,172,5.1,-0.2,9.5
2016-01-05,172,1,-1.4,3.3
2016-01-06,172,1.5,-3.8,6.2
2016-01-07,172,1.7,0.5,4.8
2016-01-08,172,0.4,-1,3.1
2016-01-09,172,2,-0.9,5.9
2016-01-10,172,2.7,-1.3,6.9
2016-01-11,172,0.1,-2.5,3.4
2016-01-12,172,-0.7,-4.3,3.9
2016-01-13,172,1.1,-1.1,3.8
2016-01-14,172,0.1,-3.7,4.3
2016-01-15,172,2.3,-3.6,8.5
2016-01-16,172,2.5,-2.3,9.8
2016-01-17,172,2.5,0.2,5.6
2016-01-18,172,-1.3,-4.2,3.8
2016-01-19,172,-4.2,-5.8,-2.4
2016-01-20,172,-5.7,-7.7,-4
2016-01-21,172,-4.4,-6.8,-1.9
2016-01-22,172,-4,-6.5,-1.3
2016-01-23,172,-6.9,-8.7,-4.2
2016-01-24,172,-9.6,-12.4,-6.8
2016-01-25,172,-6.5,-11.3,-2.5
2016-01-26,172,-0.9,-6.1,2.5
2016-01-27,172,0.1,-4.2,5.2
2016-01-28,172,0.7,-4,2.3
2016-01-29,172,1.5,0.7,2.6
2016-01-30,172,1.2,-2.3,5.6
2016-01-31,172,-1.4,-3.8,0.9
2016-02-01,172,-2.6,-4.1,-0.5
2016-02-02,172,-3.5,-6.3,0.6
2016-02-03,172,-1.8,-8.3,4.4
2016-02-04,172,-0.7,-5.9,4.6
2016-02-05,172,-0.5,-5,4
2016-02-06,172,-1,-3.2,1.8
2016-02-07,172,-1.6,-7,3.8
2016-02-08,172,2.5,-5.1,8.2
2016-02-09,172,2.1,-2.3,6.7
2016-02-10,172,4.4,-4.1,12.6
2016-02-11,172,11.6,6.8,16.4
2016-02-12,172,14,11,15.7
2016-02-13,172,14,5.2,19.5
2016-02-14,172,0.5,-1.7,5.2
2016-02-15,172,-2.3,-4,0
2016-02-16,172,2.1,-1.9,5.5
2016-02-17,172,1.8,-2,5.9
2016-02-18,172,4.3,-3,10.3
2016-02-19,172,4.7,-0.7,9.6
2016-02-20,172,3,0.6,7.3
2016-02-21,172,1.4,-1.8,5.5
2016-02-22,172,2.3,-1.6,5.7
2016-02-23,172,2.6,-1,7.6
2016-02-24,172,-1.1,-4,1.5
2016-02-25,172,1,-5,6.3
2016-02-26,172,4.3,-1.5,7.7
2016-02-27,172,7.4,4.3,12
2016-02-28,172,6.2,0.8,13.7
2016-02-29,172,-1,-3.4,2.1
2016-03-01,172,-0.7,-3.3,3.7
2016-03-02,172,3.7,-4.9,10.9
2016-03-03,172,10.6,2.4,16.7
2016-03-04,172,13.4,11.6,14.9
2016-03-05,172,14.5,9.6,18.8
2016-03-06,172,8.4,5.7,13.9
2016-03-07,172,9.4,3.8,17.2
2016-03-08,172,5.4,2.4,7.7
2016-03-09,172,2,0.2,5.8
2016-03-10,172,0.7,-1.5,4.1
2016-03-11,172,0.3,-2.8,4
2016-03-12,172,1.9,-5.2,8.8
2016-03-13,172,4.4,1,8.8
2016-03-14,172,3,-1.5,7.7
2016-03-15,172,4.3,-3.8,12.7
2016-03-16,172,7.4,1.1,14.6
2016-03-17,172,10.5,0.5,18.2
2016-03-18,172,11.1,8,16.3
2016-03-19,172,7.9,3.4,13.5
2016-03-20,172,5.9,0,14.2
2016-03-21,172,6.8,1.5,15
2016-03-22,172,6.7,0.3,14.4
2016-03-23,172,6.2,3.2,12.1
2016-03-24,172,4.8,-0.2,11.4
2016-03-25,172,4.4,-1.3,10.7
2016-03-26,172,3.5,-3.8,9.7
2016-03-27,172,4.7,-1.9,12.5
2016-03-28,172,8.2,-2.7,17.4
2016-03-29,172,12,7,16.4
2016-03-30,172,13.1,6.6,22
2016-03-31,172,12.1,5.4,22.2
2016-04-01,172,12.2,3.9,21.7
2016-04-02,172,14.4,5,23.8
2016-04-03,172,13.9,10.4,18.6
2016-04-04,172,12.2,7.1,17.5
2016-04-05,172,10.1,3.7,18.7
2016-04-06,172,12.5,4.7,20.6
2016-04-07,172,11.9,8.7,16.5
2016-04-08,172,12,8.5,21.3
2016-04-09,172,13.8,7.2,24.1
2016-04-10,172,14.4,7.1,23.9
2016-04-11,172,12.8,7.2,19.7
2016-04-12,172,15.4,9.6,21.6
2016-04-13,172,15.7,12.2,18.8
2016-04-14,172,12,9.4,16.4
2016-04-15,172,14.9,7.6,25.3
2016-04-16,172,16.7,10.4,20.4
2016-04-17,172,11.9,10.3,16.1
2016-04-18,172,12.7,8.5,17
2016-04-19,172,12.1,6.5,19.4
2016-04-20,172,15.3,6.7,21.6
2016-04-21,172,14.2,11.6,17.3
2016-04-22,172,17,11.6,25
2016-04-23,172,14.9,12.2,22.5
2016-04-24,172,14.6,7.7,22.3
2016-04-25,172,15.5,8,24.4
2016-04-26,172,16.5,8,25.9
2016-04-27,172,13.4,12.3,15.2
2016-04-28,172,13.5,9.9,18.8
2016-04-29,172,13.6,7.1,21.4
2016-04-30,172,16.7,7.7,25
2016-05-01,172,20,14.4,26.9
2016-05-02,172,19.9,16.5,25.2
2016-05-03,172,15.8,13.1,20.5
2016-05-04,172,15.6,11,20.3
2016-05-05,172,18.5,8,26
2016-05-06,172,18.9,12,25.7
2016-05-07,172,15.6,9.8,22.7
2016-05-08,172,17.3,7.8,25.9
2016-05-09,172,17.2,15,21.1
2016-05-10,172,14,13.1,15.1
2016-05-11,172,16.3,12.5,21.3
2016-05-12,172,18.6,11.9,26
2016-05-13,172,16.3,13.7,21.4
2016-05-14,172,19.1,13.2,26.2
2016-05-15,172,18.9,12.4,25.5
2016-05-16,172,15.2,10.6,20.5
2016-05-17,172,17.6,9.5,26.2
2016-05-18,172,20.3,11.9,30
2016-05-19,172,19.8,13.5,29
2016-05-20,172,20.3,12.2,29.9
2016-05-21,172,21.9,14.2,30
2016-05-22,172,22,15,29.9
2016-05-23,172,22.6,14.6,29.5
2016-05-24,172,17.8,14.7,21.6
2016-05-25,172,18.9,12.7,25.4
2016-05-26,172,19.9,14.8,26.2
2016-05-27,172,21.2,17.6,28.6
2016-05-28,172,20.1,16.9,26
2016-05-29,172,19.2,15.3,24.4
2016-05-30,172,19.8,13.2,25.8
2016-05-31,172,19.7,13.9,26.3
2016-06-01,172,20.8,17.5,28.1
2016-06-02,172,20.8,17.1,26.5
2016-06-03,172,21.4,14.7,28.7
2016-06-04,172,18.4,15.9,21.9
2016-06-05,172,20.2,14.8,26.6
2016-06-06,172,19.8,18,22.1
2016-06-07,172,20.4,18.7,24.7
2016-06-08,172,20.9,18.1,25.5
2016-06-09,172,21.4,17.9,28.5
2016-06-10,172,22.4,17.9,28.7
2016-06-11,172,24.3,19.6,28.8
2016-06-12,172,23.3,20.6,25.8
2016-06-13,172,21.4,18,25.8
2016-06-14,172,22.2,16.4,29.2
2016-06-15,172,22.2,20.2,25.3
2016-06-16,172,20.5,17.8,23.6
2016-06-17,172,22.6,16.2,29.3
2016-06-18,172,23.4,16.9,29.7
2016-06-19,172,24.1,20.3,28.8
2016-06-20,172,22.1,19.1,24.4
2016-06-21,172,24.5,20.7,28.8
2016-06-22,172,23.1,21.3,26.2
2016-06-23,172,24.3,21.4,29.6
2016-06-24,172,22.3,19.7,25.1
2016-06-25,172,22.9,19.9,27.3
2016-06-26,172,22.8,17.8,28.4
2016-06-27,172,21.6,17.2,25.6
2016-06-28,172,22.5,18.3,27.3
2016-06-29,172,23.2,20.1,26.4
2016-06-30,172,24.6,22.1,28.5
2016-07-01,172,24.8,23.1,26.9
2016-07-02,172,23.1,21.9,25.9
2016-07-03,172,22.1,20.8,23.2
2016-07-04,172,25.7,22.5,28
2016-07-05,172,27.4,25.4,30.2
2016-07-06,172,25.5,24.2,27.4
2016-07-07,172,25.9,22.9,30.2
2016-07-08,172,25.7,21.7,31.9
2016-07-09,172,25.6,21.7,32.4
2016-07-10,172,25,20.8,30.6
2016-07-11,172,24.7,22.6,29.6
2016-07-12,172,24,21.8,27.4
2016-07-13,172,24.7,21.7,29.3
2016-07-14,172,24.4,20.8,27.8
2016-07-15,172,25.4,20.7,30
2016-07-16,172,23.5,21.8,26.8
2016-07-17,172,23.4,20.1,27.3
2016-07-18,172,23.7,18.7,28.4
2016-07-19,172,25.9,19.8,31.9
2016-07-20,172,27.4,22.4,32
2016-07-21,172,27.1,23.1,32.5
2016-07-22,172,27.3,23.4,31.9
2016-07-23,172,27.8,23.1,33.3
2016-07-24,172,28.2,24.1,32.8
2016-07-25,172,28.2,24.3,33
2016-07-26,172,28.7,24.7,33.5
2016-07-27,172,28.3,25.4,32.1
2016-07-28,172,28.7,25.9,32.2
2016-07-29,172,29.6,26.8,33.9
2016-07-30,172,29,25.8,34.2
2016-07-31,172,28.3,24.5,33.4
2016-08-01,172,27.7,23.3,33.1
2016-08-02,172,26.6,23.3,29.6
2016-08-03,172,26.8,23.2,31.6
2016-08-04,172,27.2,23.2,33.3
2016-08-05,172,27.9,23.3,33.1
2016-08-06,172,28,23.9,33.5
2016-08-07,172,27.9,23.7,32.6
2016-08-08,172,27.9,23.7,34
2016-08-09,172,28.2,23.5,33.8
2016-08-10,172,28.4,24.5,33.6
2016-08-11,172,28.5,22.7,35.7
2016-08-12,172,28.3,23.2,34.7
2016-08-13,172,27.9,22.7,33.8
2016-08-14,172,28.1,23.4,33.1
2016-08-15,172,27.2,24.5,31.4
2016-08-16,172,27,23.5,31.5
2016-08-17,172,26.8,22,32
2016-08-18,172,28.1,24.1,34.2
2016-08-19,172,27.9,23.8,33.4
2016-08-20,172,28.2,24.1,33.9
2016-08-21,172,28.4,24.2,34
2016-08-22,172,27.7,22.9,33.9
2016-08-23,172,26.7,22.5,32.4
2016-08-24,172,27.7,23.4,34.1
2016-08-25,172,27.3,23.3,33.6
2016-08-26,172,23.9,20.9,27.7
2016-08-27,172,21.6,19.4,26.2
2016-08-28,172,20.3,17.8,25.3
2016-08-29,172,21,16.1,25.8
2016-08-30,172,22.5,18.4,25.9
2016-08-31,172,24.2,20.9,27.4
2016-09-01,172,26.7,23.3,32
2016-09-02,172,23.2,20.1,26.4
2016-09-03,172,24.5,19.6,30.4
2016-09-04,172,25.2,20.3,32.2
2016-09-05,172,24.9,21.9,29.1
2016-09-06,172,22.4,18.9,27
2016-09-07,172,22.5,19.7,27
2016-09-08,172,22.8,17.8,29
2016-09-09,172,22.6,18.1,28.4
2016-09-10,172,21.5,16.4,29.1
2016-09-11,172,22.9,16.9,28.7
2016-09-12,172,23.1,20.1,28
2016-09-13,172,23.2,17.3,30.3
2016-09-14,172,22.8,19.3,28.1
2016-09-15,172,23,17.3,29.8
2016-09-16,172,21.2,20,22.1
2016-09-17,172,20.6,19,22.5
2016-09-18,172,19.7,18.5,20.9
2016-09-19,172,20.8,17.3,26.4
2016-09-20,172,18.8,14.7,25.5
2016-09-21,172,18.9,13.8,24.4
2016-09-22,172,19.5,15.1,26.1
2016-09-23,172,19.3,13.5,26.6
