기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 제주
기간 : 20160101~20200928

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2016-01-01,184,8.2,5.2,10.8
2016-01-02,184,12.5,7.8,16.8
2016-01-03,184,13,10.5,16.2
2016-01-04,184,11.7,10.9,12.9
2016-01-05,184,8.5,6.6,11.1
2016-01-06,184,7.3,5.7,8.7
2016-01-07,184,7,6.3,8.2
2016-01-08,184,6,4.4,7.5
2016-01-09,184,7,5.6,8.3
2016-01-10,184,8.1,6.4,10.9
2016-01-11,184,6.1,4.3,7.7
2016-01-12,184,4.9,4.1,6.1
2016-01-13,184,4.6,2.5,5.7
2016-01-14,184,6.4,5,7.9
2016-01-15,184,7.1,4.5,11
2016-01-16,184,7.5,4.2,11.1
2016-01-17,184,8.9,7.4,10.4
2016-01-18,184,4.1,-0.3,8.9
2016-01-19,184,1.5,-0.4,3.1
2016-01-20,184,2.4,1.5,3.6
2016-01-21,184,2.9,2.2,3.9
2016-01-22,184,2.8,1.6,4.3
2016-01-23,184,-0.5,-4.1,3.4
2016-01-24,184,-3,-5.8,0.3
2016-01-25,184,1.9,-1.1,4.1
2016-01-26,184,5.5,3.8,7.2
2016-01-27,184,7.2,4.5,9.6
2016-01-28,184,8.6,5.8,11.5
2016-01-29,184,8.6,7.7,10
2016-01-30,184,7.9,6.5,9
2016-01-31,184,4.6,3.1,6.5
2016-02-01,184,2.7,1.6,3.6
2016-02-02,184,2.8,2,4.7
2016-02-03,184,4.8,2.3,6.8
2016-02-04,184,6.9,5.2,9.4
2016-02-05,184,6,4.6,8.5
2016-02-06,184,4.2,3,5.8
2016-02-07,184,4.3,2.6,7.2
2016-02-08,184,8.2,4.7,11.2
2016-02-09,184,8.4,5.2,11.6
2016-02-10,184,9.9,4.5,16.7
2016-02-11,184,14.9,9.2,19.5
2016-02-12,184,17.4,15.7,20.5
2016-02-13,184,14.8,9,19.7
2016-02-14,184,4.3,2.4,9.2
2016-02-15,184,2.1,-0.4,3.7
2016-02-16,184,5.7,2.9,7.9
2016-02-17,184,5.8,3.8,8.1
2016-02-18,184,8,2.6,13.9
2016-02-19,184,10.4,8.3,12.5
2016-02-20,184,8.3,5.3,11.1
2016-02-21,184,5.7,4.2,8.7
2016-02-22,184,6,4.9,8.7
2016-02-23,184,7.2,3.7,10.8
2016-02-24,184,3.1,2.3,4.8
2016-02-25,184,4.3,2.1,7.8
2016-02-26,184,9.2,3.3,13.5
2016-02-27,184,12,10,14.6
2016-02-28,184,11.4,6.3,19.5
2016-02-29,184,3.5,0.4,6.6
2016-03-01,184,3.6,1,6.9
2016-03-02,184,7.9,2.1,13.6
2016-03-03,184,12.3,6.1,16
2016-03-04,184,16.6,12.6,22.5
2016-03-05,184,18.1,14.2,22
2016-03-06,184,12.1,10,15.8
2016-03-07,184,14.1,10.4,18.6
2016-03-08,184,10.1,6.5,14.3
2016-03-09,184,6.1,4.3,8.5
2016-03-10,184,4.4,2.9,6.7
2016-03-11,184,4.8,2.9,7.7
2016-03-12,184,6.4,2.9,8.4
2016-03-13,184,8.4,6.1,11
2016-03-14,184,7.6,6.4,9.6
2016-03-15,184,8.3,3.7,11.6
2016-03-16,184,12,8,16.1
2016-03-17,184,15,8.5,21.3
2016-03-18,184,15.3,13.2,20
2016-03-19,184,12.4,9.8,15.2
2016-03-20,184,11.1,7.3,13.9
2016-03-21,184,12.4,9.7,15.5
2016-03-22,184,11.2,7.9,15.1
2016-03-23,184,9.8,7.3,14.5
2016-03-24,184,9.1,7,12.1
2016-03-25,184,8.9,7.4,12.1
2016-03-26,184,8.7,6.7,11.3
2016-03-27,184,10.2,6.6,13.9
2016-03-28,184,13.1,6.9,17.2
2016-03-29,184,14.7,10.2,17.8
2016-03-30,184,14.7,12.4,17.4
2016-03-31,184,13.9,13.2,16.1
2016-04-01,184,14.4,9.8,18.8
2016-04-02,184,16.3,11.1,21.6
2016-04-03,184,15.6,14.5,17.2
2016-04-04,184,13.3,12.8,15
2016-04-05,184,13.8,12.6,16.4
2016-04-06,184,15.1,11.6,18.6
2016-04-07,184,14.9,12.6,21.6
2016-04-08,184,13.3,11.5,16.6
2016-04-09,184,14.6,11.1,20
2016-04-10,184,15.3,12.2,18.8
2016-04-11,184,14.6,12.5,18.8
2016-04-12,184,16.5,12.2,21.1
2016-04-13,184,15.9,13,19.6
2016-04-14,184,15.1,12.8,22.3
2016-04-15,184,16.2,11,21.2
2016-04-16,184,20.1,14.2,24.5
2016-04-17,184,13.5,12.4,16.4
2016-04-18,184,14.6,12.6,17.3
2016-04-19,184,14.9,13.2,17.2
2016-04-20,184,18,12.3,21.7
2016-04-21,184,16.7,13.4,22.4
2016-04-22,184,16.7,11.5,22.3
2016-04-23,184,16.6,14.7,20.2
2016-04-24,184,16.9,14.3,20.7
2016-04-25,184,16.8,13.7,19.8
2016-04-26,184,18.2,14,24.2
2016-04-27,184,14.3,13.1,16
2016-04-28,184,13.9,12.7,15.9
2016-04-29,184,14.9,11.3,19
2016-04-30,184,17,11.8,22.1
2016-05-01,184,18.4,14.2,22.4
2016-05-02,184,21.3,16.5,25.7
2016-05-03,184,18.4,15,24.3
2016-05-04,184,20.8,16.3,25.7
2016-05-05,184,18.8,15.6,23.1
2016-05-06,184,18.6,15.8,23.1
2016-05-07,184,17.7,13.8,21.2
2016-05-08,184,18.1,14.9,23.8
2016-05-09,184,15.4,14.7,16.6
2016-05-10,184,14.6,13.3,15.8
2016-05-11,184,15.7,13.4,18.9
2016-05-12,184,17.1,14.1,21.3
2016-05-13,184,16.7,14.8,19.6
2016-05-14,184,18.3,15.9,22
2016-05-15,184,21.5,14.2,30.4
2016-05-16,184,15.6,11.8,19.5
2016-05-17,184,19.5,14.5,24
2016-05-18,184,19.6,15.3,24
2016-05-19,184,19.8,16.8,24.8
