기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 해남
기간 : 20160101~20200928

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2016-01-01,261,1.2,-5.7,8.6
2016-01-02,261,5.1,-1.8,13.7
2016-01-03,261,4.8,-0.9,13.8
2016-01-04,261,5.5,-1,11
2016-01-05,261,1.2,-3,3.6
2016-01-06,261,2.9,-2.8,7
2016-01-07,261,2.4,0.5,5.8
2016-01-08,261,1.9,-0.7,5.3
2016-01-09,261,0.4,-4.9,5.6
2016-01-10,261,1.4,-4.2,7.5
2016-01-11,261,1.6,-2,5.1
2016-01-12,261,0.2,-4.1,3.7
2016-01-13,261,0.4,-2,2.8
2016-01-14,261,0.5,-6.2,5.8
2016-01-15,261,0.1,-6.7,8.9
2016-01-16,261,2.1,-5.2,9.8
2016-01-17,261,4,-1.3,8.2
2016-01-18,261,-0.5,-3.9,3.8
2016-01-19,261,-3.9,-5.3,-1.7
2016-01-20,261,-3,-4.3,0
2016-01-21,261,-2.6,-4.8,0.6
2016-01-22,261,-2.2,-4,0.6
2016-01-23,261,-5.7,-8.5,-2.9
2016-01-24,261,-7.4,-9.8,-5.7
2016-01-25,261,-3.3,-5.8,-1.3
2016-01-26,261,-1,-4.1,3.6
2016-01-27,261,-0.3,-6.7,6.7
2016-01-28,261,2.2,-0.6,4.5
2016-01-29,261,3,2,5.7
2016-01-30,261,2.7,-0.9,7.4
2016-01-31,261,0,-1.5,2.8
2016-02-01,261,-1.8,-3.5,1.5
2016-02-02,261,-2.1,-4.8,2.5
2016-02-03,261,-1.6,-7.4,5
2016-02-04,261,-0.3,-7.5,6.6
2016-02-05,261,0.5,-3.6,5
2016-02-06,261,-0.9,-5.9,2.5
2016-02-07,261,-0.7,-6.1,4.5
2016-02-08,261,2.1,-8,9.2
2016-02-09,261,1.9,-4.8,8.1
2016-02-10,261,2.9,-6.9,12.8
2016-02-11,261,11,5.1,14.3
2016-02-12,261,14.3,11.3,16.9
2016-02-13,261,13,5.8,16.8
2016-02-14,261,0.6,-1.8,5.8
2016-02-15,261,-2.1,-4.1,-0.1
2016-02-16,261,1.4,-3.4,6
2016-02-17,261,1.1,-4.8,6.3
2016-02-18,261,1.6,-6.1,10.7
2016-02-19,261,4.9,-2.3,11.9
2016-02-20,261,3,-0.8,7.5
2016-02-21,261,1,-5,6.4
2016-02-22,261,2.5,-1.8,6.1
2016-02-23,261,3.3,-1,8.5
2016-02-24,261,-1,-2.8,2.3
2016-02-25,261,-0.7,-7.1,6.5
2016-02-26,261,2.8,-6.7,9.4
2016-02-27,261,7.6,1.3,13.7
2016-02-28,261,7.3,1.2,15.8
2016-02-29,261,-0.9,-3.5,1.9
2016-03-01,261,-0.8,-5.8,4.7
2016-03-02,261,1.2,-8.1,9.9
2016-03-03,261,8,-4.6,15.9
2016-03-04,261,13.3,10.7,17.8
2016-03-05,261,15,12,19.2
2016-03-06,261,9,4,15.8
2016-03-07,261,10.3,2.2,16.5
2016-03-08,261,5.4,0.1,9.7
2016-03-09,261,1.6,-0.2,5.9
2016-03-10,261,0.8,-1.2,4.4
2016-03-11,261,0.8,-3.8,4.9
2016-03-12,261,2.9,-5.6,9.6
2016-03-13,261,4.4,0.7,7.6
2016-03-14,261,3.8,-1.2,9.4
2016-03-15,261,4.3,-5.2,13.4
2016-03-16,261,7.6,0.8,16.1
2016-03-17,261,9.9,-1.2,18.9
2016-03-18,261,11.9,9.3,15.2
2016-03-19,261,8.6,2.5,14.6
2016-03-20,261,6.6,-0.9,15.5
2016-03-21,261,7.6,0,15.8
2016-03-22,261,6.7,-1.3,15.4
2016-03-23,261,7.2,3.7,14.1
2016-03-24,261,6.1,3,11.7
2016-03-25,261,4.5,-2.9,12.1
2016-03-26,261,3.8,-2.1,10.3
2016-03-27,261,4.5,-4.6,13.4
2016-03-28,261,6.2,-4.5,16.1
2016-03-29,261,11.2,1.2,15.5
2016-03-30,261,11.5,3.5,21.8
2016-03-31,261,10.9,3.9,19.9
2016-04-01,261,11.9,4.9,22.6
2016-04-02,261,12.8,2.7,19.6
2016-04-03,261,13,8.2,16.7
2016-04-04,261,12.2,10,16
2016-04-05,261,10.4,4.4,18.1
2016-04-06,261,10.5,2.4,17.4
2016-04-07,261,12,7.3,14.7
2016-04-08,261,12.7,7.1,21.2
2016-04-09,261,13.3,6.2,23.2
2016-04-10,261,13.6,3.9,23.9
2016-04-11,261,12.2,8,16.9
2016-04-12,261,12.6,8.5,16.6
2016-04-13,261,16,12.8,18.9
2016-04-14,261,13.4,8.3,20.4
2016-04-15,261,13.9,6.4,19.1
2016-04-16,261,15.9,10.4,20.3
2016-04-17,261,11.8,9.2,16
2016-04-18,261,12.2,7.9,16.7
2016-04-19,261,12.4,6,20
2016-04-20,261,14,5.1,19.9
2016-04-21,261,14.4,10.6,18
2016-04-22,261,14.3,10.1,21.9
2016-04-23,261,15.2,10.8,20.7
2016-04-24,261,13.9,6.8,22.6
2016-04-25,261,14.8,6.3,24.8
2016-04-26,261,14.7,5.5,22.9
2016-04-27,261,13,12.1,15.1
2016-04-28,261,13.3,8.6,18.7
2016-04-29,261,13.1,6.2,20.9
2016-04-30,261,14,5.6,22.9
2016-05-01,261,16.5,6.2,24.5
2016-05-02,261,18.3,11.6,22.2
2016-05-03,261,15.2,11.3,20
2016-05-04,261,14.4,6.9,21.7
2016-05-05,261,16.3,6.6,23.1
2016-05-06,261,17.8,13.7,22.3
2016-05-07,261,16.2,10.5,22.8
2016-05-08,261,16.2,6.2,23.2
2016-05-09,261,15.5,13.5,19.4
2016-05-10,261,13.8,12.3,15.5
2016-05-11,261,15.5,10.6,22.5
2016-05-12,261,16.4,8.4,24.1
2016-05-13,261,16,11.3,21.1
2016-05-14,261,17.5,12.4,22.1
2016-05-15,261,19,12.7,25.1
2016-05-16,261,14.1,9.1,20.7
2016-05-17,261,16.7,6.6,25.6
2016-05-18,261,19.3,9.3,29.5
2016-05-19,261,18.8,12.1,27.1
2016-05-20,261,19.4,10,28.5
2016-05-21,261,20.4,12.3,28
2016-05-22,261,21,14.8,26.7
