일자,대관령,장수,진도,태백,해남,홍천,temp
Jan-11,-11.14,-8.78,-4.94,-8.46,-2.68,-9.47,-7
Feb-11,-3.51,-0.5,1.5,-1.58,2.25,-0.56,0
Mar-11,-1.24,2.08,3.05,0.69,4.51,2.97,2
Apr-11,5.71,9.5,9.59,7.59,10.62,10.06,8
May-11,12.55,16.44,15.41,14.03,17.32,17.19,15
Jun-11,17.12,21.23,19.4,18.91,21.91,21.97,20
Jul-11,20.25,23.94,23.31,21.68,25.88,24.69,23
Aug-11,20.42,23.31,22.41,21.77,25.22,25.29,23
Sep-11,14.64,18.76,20.09,16.11,21.68,19.45,18
Oct-11,8.06,11.05,13.77,9.74,14.39,11.35,11
Nov-11,5.04,9.11,10.98,6.67,12.38,8.28,8
Dec-11,-6.39,-1.61,0.59,-3.84,2.34,-2.99,-1
Jan-12,-7.85,-3.67,-1.38,-5.5,0.31,-5.18,-3
Feb-12,-7.15,-3.27,-1.76,-4.79,0.47,-3.66,-3
Mar-12,-0.7,3.65,3.65,1.41,6.04,4.39,3
Apr-12,7.65,11,10.54,9.84,12.31,11.81,10
May-12,12.68,17.07,16.94,14.49,18.32,18.04,16
Jun-12,15.97,20.56,19.35,17.54,22.16,22.95,19
Jul-12,20.7,23.9,22.93,22.37,25.55,25.2,23
Aug-12,20.61,24.48,24.25,22.19,27.38,26.17,24
Sep-12,14.22,17.6,18.86,15.69,20.63,18.82,17
Oct-12,8.71,11.05,14.51,10.38,15.27,11.95,11
Nov-12,0.74,4.28,6.63,2.46,8.32,3.34,4
Dec-12,-8.08,-3.88,-0.43,-5.5,1.57,-6.25,-3
Jan-13,-8.25,-5.05,-1.11,-5.92,0.45,-6.77,-4
Feb-13,-5.32,-1.26,0.18,-2.89,2.26,-3.05,-1
Mar-13,1.66,5.09,5.24,4.03,6.62,4.24,4
Apr-13,4.58,8.61,8.2,6.7,10.78,8.87,7
May-13,13.69,16.59,15.81,15.43,17.61,17.48,16
Jun-13,17.52,21.65,19.49,19.03,22.38,23.32,20
Jul-13,22.1,24.44,23.26,23.54,26.63,25.39,24
Aug-13,22.36,24.74,25.08,24.09,27.74,26.34,25
Sep-13,15.17,18.21,19.79,16.69,21.96,19.62,18
Oct-13,9.56,12.27,14.72,11.03,16.54,13.03,12
Nov-13,1.32,4.37,7.21,3.19,8.83,3.96,4
Dec-13,-4.61,-1.11,1.84,-2.47,3.05,-2.41,0
Jan-14,-4.77,-2.4,1.01,-2.71,1.73,-2.93,-1
Feb-14,-4.75,0.76,1.41,-2.24,3.73,-0.18,0
Mar-14,2.09,5.72,5.85,3.73,7.67,6.42,5
Apr-14,8.13,11.32,11.74,9.8,13.16,13.04,11
May-14,14.45,16.55,15.86,16.15,17.59,18.41,16
Jun-14,16.11,20.2,18.83,17.42,21.84,22.67,19
Jul-14,20.52,23.03,21.7,22.15,24.68,25.53,22
Aug-14,18.81,22.12,21.47,19.86,24.35,23.7,21
Sep-14,15.13,18.44,19.48,16.57,21.55,19.88,18
Oct-14,9.2,12.36,14.98,10.44,15.99,12.64,12
Nov-14,3.67,6.41,9.22,4.96,10.35,6.16,6
Dec-14,-6.7,-2.33,0.05,-4.6,2.3,-4.82,-2
Jan-15,-5.22,-1.55,0.3,-3.13,2.75,-2.79,-1
Feb-15,-3.56,0.01,0.51,-1.73,3.4,-0.3,0
Mar-15,2.02,4.61,5.85,3.61,7.23,5.2,4
Apr-15,7.6,11.67,10.59,9.25,12.86,12.09,10
May-15,14.65,16.98,15.71,16.9,18.07,18.68,16
Jun-15,16.11,20.1,17.79,18.43,21.35,22.83,19
Jul-15,18.95,23.05,21.28,20.8,24.29,24.71,22
Aug-15,20.12,22.87,22.2,21.49,25.05,25.54,22
Sep-15,14.08,17.69,18.64,15.69,20.31,19.64,17
Oct-15,9.23,12.13,14.68,11.16,15.11,13.12,12
Nov-15,4.17,8.41,9.28,5.4,11.16,7.65,7
Dec-15,-2.25,1.55,3.26,-0.57,4.94,-0.07,1
Jan-16,-7.07,-3.04,-1.1,-5.28,0.44,-4.7,-3
Feb-16,-4.1,-0.59,0.84,-2.53,2.44,-1.09,0
Mar-16,2.02,4.91,5.36,3.51,6.38,5.84,4
Apr-16,8.91,12.56,12.54,10.35,13.25,13.76,11
May-16,14.08,17,15.97,16.21,18.05,18.85,16
Jun-16,17.19,20.7,18.96,19.27,21.85,23.06,20
Jul-16,20.15,24.27,22.96,21.97,25.89,25.26,23
Aug-16,20.46,24.48,24.58,22.03,27.16,26.57,24
Sep-16,12.07,19.59,20.65,16.84,22.19,21,18
